vehicle_id,class,avg_mph,max_mph,min_mph,frames_tracked,over_threshold
1,car,2.3,7.6,0.0,318,no
2,car,5.3,13.7,0.2,204,YES
3,car,2.8,20.3,0.0,821,YES
5,car,2.9,10.8,0.3,246,YES
7,car,4.3,34.5,0.0,872,YES
10,car,9.7,23.8,3.5,47,YES
11,car,7.7,24.5,0.6,301,YES
12,car,10.5,20.0,3.4,80,YES
14,bus,4.6,23.7,0.0,776,YES
16,car,3.3,13.6,0.0,669,YES
17,car,11.7,29.2,1.5,182,YES
22,car,8.7,20.8,3.0,215,YES
23,car,9.2,24.3,3.3,100,YES
24,car,7.7,19.3,0.8,325,YES
25,car,6.5,22.3,1.1,303,YES
26,car,24.2,24.2,24.2,1,YES
29,car,6.7,21.8,0.5,192,YES
30,bus,12.4,60.0,1.2,78,YES
31,bus,5.5,28.6,0.3,144,YES
33,bus,14.1,46.2,2.9,47,YES
35,car,5.7,9.8,2.9,26,no
